p,Delta_p,HS_off
2,-0.5851667847938996,9.41966288809331
3,-0.7178114183244141,10.247774047846438
5,-0.862911120001642,10.016602210098455
7,-0.9218780453881388,9.50380700804462
11,-0.8757404622222673,8.485659395979464
13,-0.9071631881661971,8.045420967675929
17,-0.8293885355285884,7.426840594683122
19,-0.7344532124858973,7.148980368201018
23,-0.9169227223775769,6.73518247579162
29,-0.6075579136917106,6.123975740884734
31,-0.7386539304900697,5.927257592701338
37,-0.6770804302948809,5.5746037881350885
41,-0.6740086109211398,5.292930554789262
43,-0.587133593740898,5.206254393551369
47,-0.5956738389653052,5.029558278733679
53,-0.5939167020526206,4.7546158966777
59,-0.4456316671639904,4.5756701443733885
61,-0.4877030451996784,4.492664422563881
67,-0.5083364071730638,4.299923722707578
71,-0.44789713987445834,4.220784847421709
73,-0.5164473157690499,4.157182774882214
79,-0.4273604918715849,3.997929103349891
83,-0.4964425004553269,3.917056858824797
89,-0.5085302915475541,3.8267500567006905
97,-0.46763294057825344,3.6738702245829127
101,-0.48927188460591864,3.597308725105369
103,-0.4637900980543235,3.565823543513893
107,-0.36260091541818357,3.526729292951441
109,-0.3409690740417983,3.4932094940280733
113,-0.4291219790545955,3.4407847367754196
127,-0.3429101537132695,3.267026780324005
131,-0.4214303990589622,3.225518077261658
137,-0.43686466030910903,3.1702392639613026
139,-0.4145170199389479,3.156875935011484
149,-0.3457851409717941,3.0597021004894436
151,-0.3849175783332025,3.0425932353195413
157,-0.41137081200602316,2.986910007453992
163,-0.35637126675260633,2.9408270693240253
167,-0.28939749630757244,2.917950085650842
173,-0.31736732434737885,2.8752914317535905
179,-0.39507172671721275,2.8352243889894573
181,-0.4008213572135054,2.8214721143001746
191,-0.29344670265971035,2.7557597148636717
193,-0.2572793243142113,2.7465412405881113
197,-0.26762239355520523,2.7157159729427645
199,-0.28939459008089374,2.7050221719495826
211,-0.3567175929140635,2.644850713376648
223,-0.2672875142917854,2.588973930791318
227,-0.2101343753456785,2.5615686804625892
229,-0.2392278392108764,2.554931596393592
233,-0.29475953361768303,2.5381996628671137
239,-0.34001671758145746,2.5026881316548164
241,-0.3469377637590242,2.494338579926276
251,-0.3141299583331194,2.451481190035466
257,-0.26534659043090836,2.435084605418866
263,-0.20013084229207884,2.406262416323247
269,-0.2567424616450753,2.3892761447698794
271,-0.27596108855539964,2.3742843770054587
277,-0.3199578722206704,2.3538943730459585
281,-0.33228566709149215,2.3420190191460577
283,-0.33163741783205025,2.328240800108999
293,-0.2879397730119334,2.2978362427677497
307,-0.2160855059566632,2.249890171750892
311,-0.23630109388338283,2.231074569129601
313,-0.24689140850932217,2.224020898908091
317,-0.2627601146545941,2.214987187954431
331,-0.2920407550566643,2.1752995197587297
337,-0.2786953128520513,2.161341446349772
347,-0.2202471878295027,2.130793794575632
349,-0.2045456256459168,2.125387094609571
353,-0.1818310699854979,2.116838197551686
359,-0.20988125465602553,2.095199389622313
367,-0.2602030814058329,2.077390567995561
373,-0.27564324750107405,2.058064678294688
379,-0.2826002693230647,2.045149551264223
383,-0.2789856716487664,2.0356197176453805
