p,Delta_p,HS_off
2,-0.5837315747652426,12.11416901730906
3,-0.720709747917102,13.005828222526853
5,-0.8577881553804241,12.53705690100042
7,-0.920821953271588,11.751317948371593
11,-0.883865800674769,10.360386624955542
13,-0.9088216246812437,9.754392423004726
17,-0.8253413689879141,8.84808431996942
19,-0.7306778178476029,8.486573311771735
23,-0.9158769999321036,7.8907187229048805
29,-0.6005883215394097,7.075973563432029
31,-0.7403320827993206,6.8659050593086866
37,-0.6771611479333018,6.358697910655226
41,-0.6719268921763686,5.990086088164944
43,-0.5832068323581551,5.850060067531579
47,-0.5945876632300492,5.620345477870856
53,-0.5932092456895728,5.27416738541657
59,-0.445601619857632,5.009706874968612
61,-0.4857186731273152,4.917983997720609
67,-0.5078214791157494,4.687787445799541
71,-0.44605228966044175,4.565610171492259
73,-0.5169239218377741,4.506932467613041
79,-0.42638944384542476,4.301038853163691
83,-0.4965556859345825,4.200663858838279
89,-0.5091693587881956,4.047015725403604
97,-0.465225760037394,3.8633627584397408
101,-0.4885663301032002,3.784581558664686
103,-0.46770607784165646,3.738877051116179
107,-0.3609382790389789,3.6718238284977085
109,-0.342820810619195,3.6330484686566424
113,-0.4311457205831113,3.57904265357827
127,-0.3425680218120725,3.3474318872880593
131,-0.4212364084148009,3.2984002394555714
137,-0.436506564703809,3.2514689143103794
139,-0.4147442331205137,3.2226780822811425
149,-0.34801491951169017,3.116673736334874
151,-0.3844198870680747,3.0876430088483846
157,-0.4137757247716348,3.037669826840678
163,-0.35808126154527076,2.9814653167896044
167,-0.28766293802569104,2.961492042683632
173,-0.3172764661729359,2.9078821296362762
179,-0.3957370388574041,2.8707968971985025
181,-0.40211498588370737,2.8552055024623337
191,-0.2947666882418093,2.7887208671380272
193,-0.2587178167699508,2.7664279129102316
197,-0.26713569691592015,2.746221620589986
199,-0.28912950892800343,2.7297609682344115
211,-0.35739176502948883,2.6718838915938496
223,-0.2668482392455187,2.6119927135328522
227,-0.20994973993305222,2.587713410605908
229,-0.23861203492599106,2.5780981406409493
233,-0.2920447624683722,2.554496078215187
239,-0.34085240965959757,2.526664857001519
241,-0.3452729801086956,2.514051868689302
251,-0.31496344778021423,2.477174288934394
257,-0.26403502280256785,2.4488135973064122
263,-0.20007487082105108,2.427928881104263
269,-0.25537419045812476,2.4019236151492636
271,-0.27684525677648864,2.397728869798274
277,-0.31956682096446587,2.3732484468897708
281,-0.33167426967939717,2.3630527443249942
283,-0.33163411094815,2.3523747651264513
293,-0.28785068974476,2.313870324538088
307,-0.2161647330235856,2.27261616709959
311,-0.23611750983398216,2.2531516470975683
313,-0.24710415434265276,2.250204065458444
317,-0.2622303601512871,2.231055671003779
331,-0.29201189563462154,2.198655706056655
337,-0.27861003510659743,2.179223627524027
347,-0.22018628390428174,2.1522454586020525
349,-0.20446470386852558,2.1486126985302207
353,-0.17962158368954412,2.1333813236459247
359,-0.21089359608154423,2.1209964573433573
367,-0.25902486850716716,2.0935191951581813
373,-0.27686290340451886,2.0771948951439914
379,-0.2833287223163758,2.066134363461938
383,-0.2763495783376711,2.0528064182366776
389,-0.2601219339845595,2.0397465373808443
397,-0.22762994047737645,2.019533340052067
401,-0.20802686917274316,2.0143723492129806
409,-0.1589412935212275,1.9942250254616665
419,-0.20651489271519985,1.9740684390513497
421,-0.21819298903157652,1.9688628434672446
431,-0.2584959064777156,1.9480528347720298
433,-0.26330272507653657,1.9438195508164793
439,-0.2711381589698195,1.9376014868999305
443,-0.26909474670841865,1.922464787539216
449,-0.26001581611870994,1.9126527993011062
457,-0.23304833688695278,1.8940552012037593
461,-0.21499351671122985,1.8873635254797856
463,-0.20522415913813064,1.8863582351347743
467,-0.1819279024778777,1.8746201519512937
479,-0.17390044669313773,1.8514675907803784
487,-0.19470024521563814,1.8387109582827366
491,-0.20319561936853112,1.8279022309293587
499,-0.2167303799472463,1.8186238400608534
503,-0.22659581473349402,1.8159824859092422
509,-0.23455141440569094,1.8010951531283763
521,-0.2312949245913192,1.7828725633005118
523,-0.22845128790444996,1.7792250254862094
541,-0.17589788919866223,1.7533887324159627
547,-0.15206642563100953,1.7388909897969902
557,-0.15922054493818816,1.7267030555078384
563,-0.18138414068804787,1.7159072222452831
569,-0.20095912047626435,1.7105649720300968
571,-0.2063570865694657,1.7063740513604606
577,-0.21854215935892687,1.6984726543068334
587,-0.22812327464008395,1.682730715925537
593,-0.22732931020270652,1.6760289491968126
599,-0.22134871499453168,1.6655602013049104
601,-0.21893425965451857,1.665577704060248
607,-0.20857302254614069,1.6575658904005763
613,-0.192330451363775,1.64549546527706
617,-0.1825253078490473,1.643570466848736
619,-0.1782288547433879,1.6405408017468472
631,-0.14357465588981516,1.623278377480389
641,-0.12291700783780972,1.6151632459568825
643,-0.13064274359139139,1.6137596852756628
647,-0.1455564192351736,1.6044629788257494
653,-0.16604888136477164,1.5999861306964398
659,-0.1832705642551853,1.5935573271095507
661,-0.18742601982916485,1.5876723847165137
673,-0.20967902436682662,1.5775149715406236
677,-0.2141173149768738,1.5726508011011453
683,-0.21672099617473023,1.562350438713092
691,-0.21625710768976147,1.5566959330417967
701,-0.2069594707304725,1.542258488120849
709,-0.19409045453390178,1.5363386320444354
719,-0.1713096788241794,1.5234842521081213
727,-0.14879089733523942,1.5153242860839182
733,-0.13028866617569307,1.5105357194537175
739,-0.12551230491225798,1.5017383009361427
743,-0.12987708158981043,1.499988672261484
751,-0.14395192041180802,1.4943415748143507
757,-0.1521545448778182,1.484343950511589
761,-0.15658094531588757,1.4802453622550795
769,-0.16428347878164523,1.4760408080695537
773,-0.16796974239560222,1.470769659193027
787,-0.18411564353846951,1.4581227422659393
797,-0.18932746607841505,1.4516652524138254
809,-0.18653500579952417,1.4386319618870396
811,-0.18541393834176284,1.43901244949785
821,-0.17562304062314726,1.4266166923156518
823,-0.17329801257348332,1.4243670461424904
827,-0.16807499308435658,1.4224550522264579
829,-0.16518547593535135,1.4198115245031317
839,-0.14808557033917835,1.415044930146014
853,-0.12835398307613113,1.4017341722123033
857,-0.1283084485791692,1.3987795697219454
859,-0.12802379104507933,1.395728510734575
863,-0.12679894156221636,1.3959402223069386
877,-0.14409019890794122,1.3827741254859602
881,-0.15117993375215902,1.378184078184543
883,-0.15442644727796734,1.3764060058275118
887,-0.16015062389347912,1.374537332546375
907,-0.1791605605548411,1.357406295868638
911,-0.18060810306647704,1.355172415738482
919,-0.18090083566006604,1.3453868718390034
929,-0.17925842254935714,1.3397933104373645
937,-0.1726720282888961,1.3311737671264061
941,-0.16973927310220166,1.329756160389182
947,-0.16417293298100702,1.3262720283328482
953,-0.15724122469992433,1.3221562508815488
967,-0.13471127505227648,1.3122031898811808
971,-0.12864447129180565,1.3080622825616786
977,-0.12052660582908918,1.305756589611804
983,-0.11147840209986926,1.304353177780708
991,-0.09689466387133927,1.2952636965404625
997,-0.09369761830951231,1.2912961770398623
1009,-0.11671350355798044,1.287921946485494
1013,-0.12365789521102874,1.2822237940739287
1019,-0.13312805141132883,1.2776622300289762
1021,-0.13621429597667944,1.2746429430977062
1031,-0.14986201144694328,1.2702876060300363
1033,-0.15222775082314358,1.2707826568343723
1039,-0.15859276603504674,1.2660425828166664
1049,-0.1657970827045928,1.2568888407186594
1051,-0.16702852264356133,1.257825196968844
1061,-0.17138525768109858,1.2534393278396248
1063,-0.17191420532241813,1.2532716945807696
1069,-0.17183072056774912,1.2452998246496005
1087,-0.16745409831830502,1.2361810981478598
1091,-0.16536741418668743,1.2357976407410485
1093,-0.16421312271587146,1.2337502777469131
1097,-0.16059925697782496,1.227701090094171
1103,-0.15544767626250444,1.2242798761196378
1109,-0.14948664442249712,1.223089543666602
1117,-0.14044845137656808,1.2191722242944012
1123,-0.1330946533393605,1.2148449609239633
1129,-0.12394627915805138,1.208735623012539
1151,-0.10287818151757605,1.1989004431313335
1153,-0.10342551103984975,1.1975072144291279
1163,-0.10499119759810056,1.1890480374819754
1171,-0.11219020364032652,1.1852374363911988
1181,-0.11976305350540645,1.183075752982044
1187,-0.12313829338553695,1.177605975303752
1193,-0.12613573488221178,1.1734921223164245
1201,-0.12981731939041258,1.170152111487936
1213,-0.1391031879403463,1.1654731451286058
1217,-0.14196694934458273,1.1651661438056071
1223,-0.1445326857316262,1.1576264718863218
1229,-0.14679470443114834,1.156998823681257
1231,-0.14739841558918362,1.155210953131441
1237,-0.1487725992861971,1.1545819008318947
1249,-0.14983914289044828,1.1501672502516538
1259,-0.14749649445596397,1.1416835658169888
1277,-0.14045086791278946,1.1352690157182888
1279,-0.1393463154998958,1.1339773706026006
1283,-0.13572065950571605,1.130452558909308
1289,-0.13169557969964893,1.1270601847170578
1291,-0.13023454715857613,1.1263637869053402
1297,-0.125504846405743,1.1226782830602247
1301,-0.12207031438054494,1.1245838442795477
1303,-0.1202704184077997,1.1239997478978194
1307,-0.11650636537979503,1.1205243361764587
1319,-0.10497559218163927,1.1111811324549121
1321,-0.10529750973307382,1.1113730003590812
1327,-0.10594937370836932,1.1103998894466185
1361,-0.10706810802635752,1.0946091310909185
1367,-0.11300747350629342,1.0914177752051901
1373,-0.11842158207026947,1.0912792979149328
1381,-0.12473739028207005,1.087704286493578
1399,-0.1347556813085417,1.076284168130354
1409,-0.1390603948071632,1.0748839996250596
1423,-0.14068479173569454,1.0657191557856738
1427,-0.1412822879261846,1.0650198432865325
1429,-0.141492212481029,1.0649300081332473
1433,-0.14173425017665522,1.0626325178220488
1439,-0.14165198528955716,1.060804012961097
1447,-0.14070314009665524,1.0583223042289038
1451,-0.13985773735852922,1.058429599700783
1453,-0.139335739766019,1.058066335941715
1459,-0.13721699887722244,1.0557199393945882
1471,-0.13108999144880218,1.0468965541578232
1481,-0.12590213936626912,1.0456754736267997
1483,-0.12471756777093788,1.043912350103111
1487,-0.12220062283649787,1.042769687855187
1489,-0.12086661394637956,1.0440676957615678
1493,-0.11803531553168621,1.041756433875346
1499,-0.11195995591989037,1.0346626230940033
1511,-0.10234950484942247,1.0311745668476213
1523,-0.0914890652968188,1.028778007666533
1531,-0.08415140971748787,1.0279619004690088
1543,-0.07686856406045761,1.0206520308882086
1549,-0.07559553052113083,1.0175686637252537
1553,-0.07460169167479591,1.0174217599327566
1559,-0.07769151373321849,1.0154576486538616
1567,-0.08567980913650468,1.0159686729732476
1571,-0.08944430013120214,1.0132040710850563
1579,-0.09615308411742705,1.0072383472465771
1583,-0.0995663029837516,1.006182853417192
1597,-0.1103512309052283,1.0036204209531239
1601,-0.11309134229286205,1.0008519937252658
1607,-0.1169109355450341,1.001735562057785
1609,-0.11810626845327679,1.0004168106725355
1613,-0.1203809000436675,0.9983486581327504
1619,-0.12276642381102915,0.993080044749378
1621,-0.12371419547343311,0.9939530432923487
1627,-0.12632035558096094,0.9899037857841575
1637,-0.12987754065236398,0.9892299469271902
1657,-0.13423491615813984,0.983510565035348
1663,-0.1337308563124601,0.9795966234368562
1667,-0.1338108346155497,0.9764629194184838
1669,-0.13379495617985535,0.9758155525543255
1693,-0.13091198134749352,0.9712804747631165
1697,-0.1300338381317266,0.9700159360601227
1699,-0.1295901195914737,0.96996484561812
1709,-0.12525003011010177,0.9624286672125475
1721,-0.12015237466195258,0.9606890151408057
1723,-0.11920560512395922,0.9594746346616517
1733,-0.11411385139157916,0.9589743328296674
1741,-0.10974203525239465,0.9557268027636082
1747,-0.10516420253154074,0.9510746498376338
1753,-0.10110364588367787,0.9481426924932259
1759,-0.09685327113271953,0.9480659286166333
1777,-0.08318937279879735,0.9448747068713306
1783,-0.08130470982266744,0.9422825612117932
1787,-0.08222109761141809,0.9422573057652422
1789,-0.08272457951578673,0.9416070135274685
1801,-0.083955415737116,0.9349841067511553
1811,-0.08486791085896783,0.9313399677194737
1823,-0.08535416948138878,0.9302117790889541
1831,-0.08820437026071243,0.9287096837276788
1847,-0.09400410732052569,0.9219433508326871
1861,-0.09804851317616711,0.9179322962640395
1867,-0.09989767793871093,0.9178682924799593
1871,-0.1017320272449502,0.9165256796784707
1873,-0.10262863342956277,0.9155430199518617
1877,-0.10440046490022217,0.9159921266344423
1879,-0.10529635742179073,0.9154436898513818
1889,-0.10866374055330358,0.9080776801016786
1901,-0.11199983339193642,0.9054786265706974
1907,-0.11334943452884103,0.9053958440137534
